384    384       0.0809   -0.5241 7.680000e+001 7.680000e+001 8.091373e-004 -5.241168e-003 
416    384       0.0750   -0.2860 8.320000e+001 7.680000e+001 7.495737e-004 -2.860234e-003 
448    384      -0.0150    0.0038 8.960000e+001 7.680000e+001 -1.499479e-004 3.768046e-005 
480    384      -0.2136   -0.0318 9.600000e+001 7.680000e+001 -2.136172e-003 -3.175910e-004 
32     352       0.0098   -0.0408 6.400000e+000 7.040000e+001 9.783372e-005 -4.075902e-004 
64     352       0.0209   -0.0693 1.280000e+001 7.040000e+001 2.094365e-004 -6.926526e-004 
96     352       0.0400   -0.0642 1.920000e+001 7.040000e+001 4.003871e-004 -6.422773e-004 
128    352       0.0466   -0.0441 2.560000e+001 7.040000e+001 4.661628e-004 -4.412773e-004 
160    352       0.0014   -0.0631 3.200000e+001 7.040000e+001 1.420050e-005 -6.305361e-004 
192    352      -0.0128   -0.0126 3.840000e+001 7.040000e+001 -1.275091e-004 -1.258001e-004 
224    352      -0.0152   -0.0060 4.480000e+001 7.040000e+001 -1.521276e-004 -5.968409e-005 
256    352      -0.0030   -0.0252 5.120000e+001 7.040000e+001 -3.015911e-005 -2.520843e-004 
288    352      -0.0167   -0.0504 5.760000e+001 7.040000e+001 -1.669132e-004 -5.037500e-004 
320    352      -0.0041   -0.0657 6.400000e+001 7.040000e+001 -4.125817e-005 -6.574386e-004 
352    352       0.0247   -0.0985 7.040000e+001 7.040000e+001 2.472139e-004 -9.845808e-004 
384    352       0.1147   -0.1154 7.680000e+001 7.040000e+001 1.147258e-003 -1.153576e-003 
416    352       0.0364   -0.0850 8.320000e+001 7.040000e+001 3.637448e-004 -8.495563e-004 
448    352      -0.0114   -0.1083 8.960000e+001 7.040000e+001 -1.135429e-004 -1.082950e-003 
480    352      -0.0618   -0.2126 9.600000e+001 7.040000e+001 -6.183318e-004 -2.125950e-003 
32     320      -0.0636   -0.1438 6.400000e+000 6.400000e+001 -6.356913e-004 -1.438364e-003 
64     320      -0.0733   -0.0745 1.280000e+001 6.400000e+001 -7.328195e-004 -7.454483e-004 
96     320      -0.0179   -0.0349 1.920000e+001 6.400000e+001 -1.790572e-004 -3.490692e-004 
128    320      -0.0068   -0.0400 2.560000e+001 6.400000e+001 -6.771214e-005 -3.996765e-004 
160    320      -0.0051   -0.0176 3.200000e+001 6.400000e+001 -5.097599e-005 -1.763489e-004 
192    320      -0.0113   -0.1077 3.840000e+001 6.400000e+001 -1.133022e-004 -1.077268e-003 
224    320       0.0053   -0.4394 4.480000e+001 6.400000e+001 5.305665e-005 -4.393675e-003 
256    320      -0.0075   -0.3617 5.120000e+001 6.400000e+001 -7.456354e-005 -3.617183e-003 
288    320      -0.0252   -0.0448 5.760000e+001 6.400000e+001 -2.516777e-004 -4.481487e-004 
320    320       0.0523   -0.0568 6.400000e+001 6.400000e+001 5.233911e-004 -5.681703e-004 
352    320       0.0344   -0.0714 7.040000e+001 6.400000e+001 3.442057e-004 -7.138134e-004 
384    320      -0.0013   -0.0190 7.680000e+001 6.400000e+001 -1.349916e-005 -1.895883e-004 
416    320      -0.0047    0.0191 8.320000e+001 6.400000e+001 -4.716586e-005 1.910782e-004 
448    320      -0.0227   -0.1336 8.960000e+001 6.400000e+001 -2.269642e-004 -1.335626e-003 
480    320       0.1171   -0.1375 9.600000e+001 6.400000e+001 1.170570e-003 -1.374509e-003 
32     288      -0.0401   -0.0458 6.400000e+000 5.760000e+001 -4.007259e-004 -4.584835e-004 
64     288      -0.0749   -0.0720 1.280000e+001 5.760000e+001 -7.488214e-004 -7.195760e-004 
96     288      -0.0687   -0.1526 1.920000e+001 5.760000e+001 -6.867397e-004 -1.525687e-003 
128    288      -0.0936   -0.3067 2.560000e+001 5.760000e+001 -9.364180e-004 -3.067429e-003 
160    288      -0.0077   -0.0729 3.200000e+001 5.760000e+001 -7.698397e-005 -7.294085e-004 
192    288       0.0248   -0.1021 3.840000e+001 5.760000e+001 2.480028e-004 -1.021303e-003 
224    288       0.0086   -0.0717 4.480000e+001 5.760000e+001 8.574588e-005 -7.165559e-004 
256    288      -0.0175   -0.0420 5.120000e+001 5.760000e+001 -1.754412e-004 -4.195418e-004 
288    288       0.0236    0.0335 5.760000e+001 5.760000e+001 2.356053e-004 3.350016e-004 
320    288       0.0458   -0.0515 6.400000e+001 5.760000e+001 4.575378e-004 -5.147511e-004 
352    288       0.0398   -0.1483 7.040000e+001 5.760000e+001 3.981172e-004 -1.482535e-003 
384    288       0.0103    0.0229 7.680000e+001 5.760000e+001 1.026154e-004 2.288058e-004 
416    288      -0.0657    0.0314 8.320000e+001 5.760000e+001 -6.574200e-004 3.136940e-004 
448    288       0.0015   -0.1250 8.960000e+001 5.760000e+001 1.542543e-005 -1.250293e-003 
480    288      -0.2035   -0.1594 9.600000e+001 5.760000e+001 -2.034845e-003 -1.594025e-003 
32     256      -0.0432   -0.0714 6.400000e+000 5.120000e+001 -4.321461e-004 -7.135619e-004 
64     256      -0.0772   -0.0851 1.280000e+001 5.120000e+001 -7.723996e-004 -8.512718e-004 
96     256      -0.0615   -0.1506 1.920000e+001 5.120000e+001 -6.149102e-004 -1.506206e-003 
128    256      -0.0641   -0.2410 2.560000e+001 5.120000e+001 -6.409747e-004 -2.410106e-003 
160    256      -0.0088   -0.0797 3.200000e+001 5.120000e+001 -8.844517e-005 -7.970049e-004 
192    256       0.0110   -0.0756 3.840000e+001 5.120000e+001 1.095448e-004 -7.557655e-004 
224    256       0.0243   -0.0336 4.480000e+001 5.120000e+001 2.427463e-004 -3.364397e-004 
256    256      -0.0032   -0.0335 5.120000e+001 5.120000e+001 -3.198567e-005 -3.345946e-004 
288    256      -0.0015   -0.1715 5.760000e+001 5.120000e+001 -1.507482e-005 -1.714956e-003 
320    256       0.0473   -0.1206 6.400000e+001 5.120000e+001 4.731484e-004 -1.205856e-003 
352    256      -0.0193    0.0330 7.040000e+001 5.120000e+001 -1.928043e-004 3.295019e-004 
384    256       0.0093    0.0866 7.680000e+001 5.120000e+001 9.292674e-005 8.659342e-004 
416    256      -0.0079    0.0042 8.320000e+001 5.120000e+001 -7.910922e-005 4.169355e-005 
448    256       0.0031   -0.0497 8.960000e+001 5.120000e+001 3.051946e-005 -4.971933e-004 
480    256       0.1749   -0.3150 9.600000e+001 5.120000e+001 1.748766e-003 -3.150325e-003 
32     224       0.0552   -0.1859 6.400000e+000 4.480000e+001 5.516908e-004 -1.858788e-003 
64     224      -0.1055   -0.2931 1.280000e+001 4.480000e+001 -1.055099e-003 -2.931387e-003 
96     224      -0.1314   -0.2351 1.920000e+001 4.480000e+001 -1.313820e-003 -2.350524e-003 
128    224       0.0174    0.0109 2.560000e+001 4.480000e+001 1.744281e-004 1.094591e-004 
160    224      -0.0064   -0.0170 3.200000e+001 4.480000e+001 -6.360700e-005 -1.697036e-004 
192    224      -0.0055   -0.0244 3.840000e+001 4.480000e+001 -5.468998e-005 -2.437848e-004 
224    224      -0.0250   -0.0435 4.480000e+001 4.480000e+001 -2.502934e-004 -4.354704e-004 
256    224      -0.0666   -0.1261 5.120000e+001 4.480000e+001 -6.659815e-004 -1.261457e-003 
288    224      -0.1044   -0.3582 5.760000e+001 4.480000e+001 -1.043628e-003 -3.582275e-003 
320    224       0.0877   -0.2270 6.400000e+001 4.480000e+001 8.768341e-004 -2.270386e-003 
352    224       0.0228   -0.0331 7.040000e+001 4.480000e+001 2.282019e-004 -3.311798e-004 
384    224       0.0024   -0.0090 7.680000e+001 4.480000e+001 2.393139e-005 -8.950765e-005 
416    224       0.0163   -0.0185 8.320000e+001 4.480000e+001 1.626437e-004 -1.845368e-004 
