32     480       0.0373   -0.2998 6.400000e+000 9.600000e+001 3.726819e-004 -2.997792e-003 
64     480       0.0419   -0.3067 1.280000e+001 9.600000e+001 4.194911e-004 -3.066621e-003 
96     480       0.0962   -0.2803 1.920000e+001 9.600000e+001 9.621304e-004 -2.802739e-003 
128    480       0.0215    0.2125 2.560000e+001 9.600000e+001 2.150292e-004 2.124612e-003 
160    480      -0.0040    0.1734 3.200000e+001 9.600000e+001 -4.007042e-005 1.734407e-003 
192    480      -0.0126    0.1554 3.840000e+001 9.600000e+001 -1.257052e-004 1.553577e-003 
224    480      -0.0180   -0.1728 4.480000e+001 9.600000e+001 -1.803184e-004 -1.727738e-003 
256    480       0.0278   -0.2707 5.120000e+001 9.600000e+001 2.775533e-004 -2.706712e-003 
288    480      -0.0423   -0.2621 5.760000e+001 9.600000e+001 -4.234322e-004 -2.621349e-003 
320    480       0.0104    0.2565 6.400000e+001 9.600000e+001 1.036375e-004 2.565221e-003 
352    480      -0.0216    0.1845 7.040000e+001 9.600000e+001 -2.159731e-004 1.844603e-003 
384    480       0.0264    0.2137 7.680000e+001 9.600000e+001 2.641397e-004 2.137161e-003 
416    480       0.0055    0.2434 8.320000e+001 9.600000e+001 5.545331e-005 2.434261e-003 
448    480      -0.0008   -0.1351 8.960000e+001 9.600000e+001 -8.364131e-006 -1.351102e-003 
480    480       0.0513   -0.1718 9.600000e+001 9.600000e+001 5.128332e-004 -1.718413e-003 
32     448      -0.1553   -0.1626 6.400000e+000 8.960000e+001 -1.552656e-003 -1.625788e-003 
64     448      -0.0153   -0.2613 1.280000e+001 8.960000e+001 -1.527507e-004 -2.613472e-003 
96     448       0.0458    0.0502 1.920000e+001 8.960000e+001 4.580163e-004 5.022036e-004 
128    448       0.0066   -0.0321 2.560000e+001 8.960000e+001 6.642441e-005 -3.212294e-004 
160    448      -0.0024    0.0336 3.200000e+001 8.960000e+001 -2.361771e-005 3.355632e-004 
192    448       0.0028    0.0156 3.840000e+001 8.960000e+001 2.805363e-005 1.555741e-004 
224    448      -0.0314   -0.0433 4.480000e+001 8.960000e+001 -3.136102e-004 -4.334799e-004 
256    448      -0.0484   -0.1222 5.120000e+001 8.960000e+001 -4.843681e-004 -1.221930e-003 
288    448      -0.0208   -0.1772 5.760000e+001 8.960000e+001 -2.083662e-004 -1.771729e-003 
320    448      -0.0095    0.0195 6.400000e+001 8.960000e+001 -9.458813e-005 1.952354e-004 
352    448       0.0053    0.0421 7.040000e+001 8.960000e+001 5.338281e-005 4.211880e-004 
384    448      -0.0003    0.0107 7.680000e+001 8.960000e+001 -2.761153e-006 1.071223e-004 
416    448       0.0013    0.0110 8.320000e+001 8.960000e+001 1.256272e-005 1.103896e-004 
448    448      -0.0001    0.0252 8.960000e+001 8.960000e+001 -9.319728e-007 2.516806e-004 
480    448       0.1808    0.0147 9.600000e+001 8.960000e+001 1.807588e-003 1.473922e-004 
32     416      -0.0543   -0.0408 6.400000e+000 8.320000e+001 -5.430447e-004 -4.075844e-004 
64     416       0.0822   -0.0237 1.280000e+001 8.320000e+001 8.221517e-004 -2.374531e-004 
96     416       0.1376   -0.0484 1.920000e+001 8.320000e+001 1.376048e-003 -4.840541e-004 
128    416       0.0227   -0.0119 2.560000e+001 8.320000e+001 2.265026e-004 -1.190410e-004 
160    416      -0.0057    0.0174 3.200000e+001 8.320000e+001 -5.716955e-005 1.744389e-004 
192    416      -0.0085   -0.0018 3.840000e+001 8.320000e+001 -8.482244e-005 -1.768569e-005 
224    416      -0.0086   -0.0176 4.480000e+001 8.320000e+001 -8.593091e-005 -1.761269e-004 
256    416      -0.0245   -0.1197 5.120000e+001 8.320000e+001 -2.450499e-004 -1.196573e-003 
288    416      -0.0318   -0.1362 5.760000e+001 8.320000e+001 -3.182528e-004 -1.362324e-003 
320    416      -0.0032    0.0108 6.400000e+001 8.320000e+001 -3.205382e-005 1.079730e-004 
352    416       0.0001    0.0166 7.040000e+001 8.320000e+001 1.032855e-006 1.659730e-004 
384    416      -0.0044    0.0229 7.680000e+001 8.320000e+001 -4.354911e-005 2.292591e-004 
416    416       0.0007    0.0255 8.320000e+001 8.320000e+001 7.310847e-006 2.547207e-004 
448    416       0.0015    0.0006 8.960000e+001 8.320000e+001 1.450412e-005 5.625157e-006 
480    416       0.1070   -0.0217 9.600000e+001 8.320000e+001 1.070239e-003 -2.173448e-004 
32     384       0.0865   -0.0312 6.400000e+000 7.680000e+001 8.647452e-004 -3.118319e-004 
64     384       0.0492    0.0021 1.280000e+001 7.680000e+001 4.921604e-004 2.074475e-005 
96     384       0.0569    0.0089 1.920000e+001 7.680000e+001 5.686280e-004 8.917447e-005 
